index,tweet_id,author_id,inbound,created_at,chat_conversation,response_tweet_id,in_response_to_tweet_id,sentiment_analysis,sentiment,sentiment_explanation
0,1,sprintcare,False,Tue Oct 31 22:10:47 +0000 2017,@115712 I understand. I would like to assist you. We would need to get you into a private secured link to further assist.,2,3.0,"{
  ""Sentimento"": ""Neutro"",
  ""Explicação"": ""O usuário expressa uma intenção de ajudar e compreender a situação, mas não demonstra emoções fortes ou positivas/negativas. A frase 'I would like to assist you' indica uma disposição para ajudar, mas não carrega um tom entusiástico ou negativo.""
}",Neutro,"O usuário expressa uma intenção de ajudar e compreender a situação, mas não demonstra emoções fortes ou positivas/negativas. A frase 'I would like to assist you' indica uma disposição para ajudar, mas não carrega um tom entusiástico ou negativo."
1,2,115712,True,Tue Oct 31 22:11:45 +0000 2017,@sprintcare and how do you propose we do that,,1.0,"{
  ""Sentimento"": ""Neutro"",
  ""Explicação"": ""A mensagem do usuário é uma pergunta direta e não expressa emoções positivas ou negativas. O tom é neutro, focando em buscar uma solução sem demonstrar frustração ou entusiasmo. O trecho que demonstra isso é: 'and how do you propose we do that'.""
}",Neutro,"A mensagem do usuário é uma pergunta direta e não expressa emoções positivas ou negativas. O tom é neutro, focando em buscar uma solução sem demonstrar frustração ou entusiasmo. O trecho que demonstra isso é: 'and how do you propose we do that'."
2,3,115712,True,Tue Oct 31 22:08:27 +0000 2017,@sprintcare I have sent several private messages and no one is responding as usual,1,4.0,"{
  ""Sentimento"": ""Negativo"",
  ""Explicação"": ""O usuário expressa frustração ao mencionar que enviou várias mensagens privadas sem receber resposta, o que indica insatisfação com o atendimento. O uso da expressão 'como de costume' sugere que essa situação é recorrente, aumentando a negatividade do sentimento.""
}",Negativo,"O usuário expressa frustração ao mencionar que enviou várias mensagens privadas sem receber resposta, o que indica insatisfação com o atendimento. O uso da expressão 'como de costume' sugere que essa situação é recorrente, aumentando a negatividade do sentimento."
3,4,sprintcare,False,Tue Oct 31 21:54:49 +0000 2017,@115712 Please send us a Private Message so that we can further assist you. Just click ‘Message’ at the top of your profile.,3,5.0,"{
  ""Sentimento"": ""Neutro"",
  ""Explicação"": ""O usuário não expressou emoções positivas ou negativas, apenas fez um pedido claro e direto para que a assistência fosse prestada através de uma mensagem privada. A falta de emoção ou entusiasmo sugere um tom neutro.""
}",Neutro,"O usuário não expressou emoções positivas ou negativas, apenas fez um pedido claro e direto para que a assistência fosse prestada através de uma mensagem privada. A falta de emoção ou entusiasmo sugere um tom neutro."
4,5,115712,True,Tue Oct 31 21:49:35 +0000 2017,@sprintcare I did.,4,6.0,"{
  ""Sentimento"": ""Neutro"",
  ""Explicação"": ""A mensagem do usuário é uma resposta simples e direta, sem expressar emoções ou sentimentos claros. A frase 'I did.' não contém elementos que indiquem um sentimento positivo ou negativo, apenas confirma uma ação.""
}",Neutro,"A mensagem do usuário é uma resposta simples e direta, sem expressar emoções ou sentimentos claros. A frase 'I did.' não contém elementos que indiquem um sentimento positivo ou negativo, apenas confirma uma ação."
5,6,sprintcare,False,Tue Oct 31 21:46:24 +0000 2017,"@115712 Can you please send us a private message, so that I can gain further details about your account?","5,7",8.0,"{
  ""Sentimento"": ""Neutro"",
  ""Explicação"": ""A mensagem do usuário é uma solicitação direta e objetiva, sem expressar emoções positivas ou negativas. O tom é formal e focado na obtenção de informações, o que caracteriza um sentimento neutro. O trecho que demonstra isso é: 'Can you please send us a private message, so that I can gain further details about your account?'.""
}",Neutro,"A mensagem do usuário é uma solicitação direta e objetiva, sem expressar emoções positivas ou negativas. O tom é formal e focado na obtenção de informações, o que caracteriza um sentimento neutro. O trecho que demonstra isso é: 'Can you please send us a private message, so that I can gain further details about your account?'."
6,8,115712,True,Tue Oct 31 21:45:10 +0000 2017,@sprintcare is the worst customer service,"9,6,10",,"{
  ""Sentimento"": ""Negativo"",
  ""Explicação"": ""O usuário expressa insatisfação ao afirmar que '@sprintcare is the worst customer service', indicando uma experiência negativa com o atendimento ao cliente.""
}",Negativo,"O usuário expressa insatisfação ao afirmar que '@sprintcare is the worst customer service', indicando uma experiência negativa com o atendimento ao cliente."
7,11,sprintcare,False,Tue Oct 31 22:10:35 +0000 2017,"@115713 This is saddening to hear. Please shoot us a DM, so that we can look into this for you. -KC",,12.0,"{
  ""Sentimento"": ""Negativo"",
  ""Explicação"": ""O usuário expressou tristeza ao ouvir uma notícia, o que indica um sentimento negativo. A frase 'This is saddening to hear' demonstra claramente essa emoção.""
}",Negativo,"O usuário expressou tristeza ao ouvir uma notícia, o que indica um sentimento negativo. A frase 'This is saddening to hear' demonstra claramente essa emoção."
8,12,115713,True,Tue Oct 31 22:04:47 +0000 2017,@sprintcare You gonna magically change your connectivity for me and my whole family ? 🤥 💯,"11,13,14",15.0,"{
  ""Sentimento"": ""Negativo"",
  ""Explicação"": ""O usuário expressa ceticismo e desconfiança em relação à capacidade da empresa de resolver um problema de conectividade, utilizando emojis que indicam sarcasmo e descontentamento, como o 🤥 (cara de mentira). A frase 'You gonna magically change your connectivity for me and my whole family?' sugere uma expectativa irrealista e frustração.""
}",Negativo,"O usuário expressa ceticismo e desconfiança em relação à capacidade da empresa de resolver um problema de conectividade, utilizando emojis que indicam sarcasmo e descontentamento, como o 🤥 (cara de mentira). A frase 'You gonna magically change your connectivity for me and my whole family?' sugere uma expectativa irrealista e frustração."
9,15,sprintcare,False,Tue Oct 31 20:03:31 +0000 2017,"@115713 We understand your concerns and we'd like for you to please send us a Direct Message, so that we can further assist you. -AA",12,16.0,"{
  ""Sentimento"": ""Negativo"",
  ""Explicação"": ""O usuário expressou preocupações que levaram à necessidade de assistência adicional, indicando insatisfação ou frustração. A frase 'We understand your concerns' sugere que as preocupações do usuário são válidas, o que reforça a ideia de um sentimento negativo.""
}",Negativo,"O usuário expressou preocupações que levaram à necessidade de assistência adicional, indicando insatisfação ou frustração. A frase 'We understand your concerns' sugere que as preocupações do usuário são válidas, o que reforça a ideia de um sentimento negativo."
10,16,115713,True,Tue Oct 31 20:00:43 +0000 2017,@sprintcare Since I signed up with you....Since day 1,15,17.0,"{
  ""Sentimento"": ""Negativo"",
  ""Explicação"": ""O usuário parece estar expressando insatisfação ou frustração desde o início do relacionamento com o serviço, o que é indicado pela frase 'Since day 1', sugerindo que houve problemas desde o começo.""
}",Negativo,"O usuário parece estar expressando insatisfação ou frustração desde o início do relacionamento com o serviço, o que é indicado pela frase 'Since day 1', sugerindo que houve problemas desde o começo."
11,17,sprintcare,False,Tue Oct 31 19:59:13 +0000 2017,"@115713 H there! We'd definitely like to work with you on this, how long have you been experiencing this issue? -AA",16,18.0,"{
  ""Sentimento"": ""Neutro"",
  ""Explicação"": ""O usuário expressa interesse em colaborar e busca informações sobre a duração do problema, sem demonstrar emoções positivas ou negativas. A mensagem é objetiva e focada na resolução da questão.""
}",Neutro,"O usuário expressa interesse em colaborar e busca informações sobre a duração do problema, sem demonstrar emoções positivas ou negativas. A mensagem é objetiva e focada na resolução da questão."
12,18,115713,True,Tue Oct 31 19:56:01 +0000 2017,"@115714 y’all lie about your “great” connection. 5 bars LTE, still won’t load something. Smh.",17,,"{
  ""Sentimento"": ""Negativo"",
  ""Explicação"": ""O usuário expressa frustração com a conexão, afirmando que, apesar de ter 5 barras de LTE, ainda enfrenta problemas de carregamento. A expressão 'y’all lie' e 'Smh' (shake my head) indicam descontentamento e insatisfação com o serviço.""
}",Negativo,"O usuário expressa frustração com a conexão, afirmando que, apesar de ter 5 barras de LTE, ainda enfrenta problemas de carregamento. A expressão 'y’all lie' e 'Smh' (shake my head) indicam descontentamento e insatisfação com o serviço."
